caseid,1,2,3,4,5
22526,not married,partnered,Partnered,,unmarried partners
23286,married,married,Married,,married
25495,not married,,,,
26315,not married,partnered,,,
27355,not married,,,,
27695,not married,,,,
28536,not married,partnered,Partnered,Unmarried partners,unmarried partners
29584,married,married,Married,Married,married
30393,not married,,,,
31456,not married,,,Unmarried partners,unmarried partners
32656,not married,,Partnered,Unmarried partners,unmarried partners
33536,not married,partnered,Partnered,Unmarried partners,unmarried partners
34341,married,married,Married,Married,married
35653,not married,partnered,,,
36493,not married,partnered,,,
37656,not married,,,,
38895,not married,partnered,Partnered,Unmarried partners,unmarried partners
39415,not married,,,,
40335,not married,partnered,,,
41505,not married,partnered,,,
42645,not married,,,,
43381,married,married,Married,Married,married
44486,married,married,Married,Married,married
45653,not married,,,,
46746,married,married,Married,Married,married
48225,not married,partnered,Partnered,Married,married
49731,married,married,Married,Married,married
50605,not married,,,,
51376,not married,partnered,Partnered,,
53436,not married,,,,
54415,not married,partnered,,,
55365,not married,partnered,Partnered,,
55686,not married,,,Unmarried partners,unmarried partners
56536,not married,partnered,Partnered,Unmarried partners,unmarried partners
57485,not married,,,,
58295,not married,partnered,Partnered,Married,married
59265,not married,,,,
60743,not married,partnered,,,
62283,not married,partnered,,,
63435,not married,,,,
64331,married,married,Married,Married,married
65446,not married,partnered,,,
66345,not married,,,,
66484,not married,partnered,,,
67535,not married,,,,
68546,married,married,Married,Married,married
69311,married,married,Married,Married,married
70603,not married,,,,
71523,not married,,,,
72515,not married,partnered,,,
73603,married,married,,,
74415,not married,,,,
75621,married,married,,Married,married
75685,not married,,,,
76832,not married,,,,
77256,married,married,Married,Married,married
78351,married,married,Married,Married,married
79405,not married,,,,
79731,married,married,Married,Married,married
80656,not married,partnered,Partnered,Unmarried partners,unmarried partners
81286,not married,partnered,Married,Married,married
82431,married,married,,Married,married
83431,married,married,Married,Married,married
84485,not married,,,,
85281,married,married,Married,Married,married
86591,married,married,Married,Married,married
88205,not married,,,,
89766,not married,partnered,,Unmarried partners,unmarried partners
90315,not married,,,,
92625,not married,,,,
94431,married,married,Married,Married,married
95431,married,married,Married,Married,married
96335,not married,,,,
97195,not married,partnered,Partnered,Unmarried partners,unmarried partners
98306,not married,,,,
99611,married,married,Married,Married,married
100331,married,married,Married,Married,married
101533,not married,,,,
102345,not married,,,,
103545,not married,partnered,Partnered,Unmarried partners,unmarried partners
104565,not married,partnered,Partnered,,
105515,not married,,,,
106296,not married,partnered,Partnered,,
107255,not married,,,,
108381,married,,,Married,married
108501,married,married,Married,Married,married
109706,not married,,,,
110316,not married,partnered,Partnered,Unmarried partners,unmarried partners
112646,married,married,Married,Married,married
113235,not married,partnered,Married,Married,married
114276,married,married,Married,Married,married
115473,not married,partnered,,,
116271,married,married,Married,Married,married
117401,married,married,Married,Married,married
119371,married,married,Married,Married,married
119663,not married,partnered,,Unmarried partners,unmarried partners
120456,married,married,Married,Married,married
121515,not married,partnered,Partnered,Unmarried partners,unmarried partners
122441,married,married,,Married,married
123405,not married,,,,
125346,not married,partnered,,,
126231,married,married,Married,Married,married
127425,not married,,,,
128441,married,married,Married,Married,married
129595,not married,,,,
130266,married,married,Married,Married,married
131561,married,,,Married,married
132505,not married,,,,
133521,married,married,Married,Married,married
134275,not married,partnered,Partnered,Unmarried partners,married
134461,not married,partnered,Married,Married,married
135736,not married,partnered,Partnered,Unmarried partners,unmarried partners
136275,not married,partnered,,Married,married
137215,not married,partnered,Partnered,Unmarried partners,unmarried partners
138383,not married,,,,
140511,married,married,Married,Married,married
141843,not married,,,,
142561,married,married,,Married,married
143746,not married,,,Unmarried partners,unmarried partners
144545,not married,partnered,Partnered,Unmarried partners,unmarried partners
145611,married,married,Married,Married,married
146405,not married,,,,
147245,not married,partnered,Partnered,Unmarried partners,unmarried partners
147525,not married,partnered,Partnered,,
149675,not married,,,,
150411,married,married,Married,Married,married
151506,married,married,Married,Married,married
152762,married,married,,,
153673,not married,,,,
154531,married,married,,Married,married
155561,married,married,Married,Married,married
156486,not married,partnered,Partnered,Unmarried partners,unmarried partners
156535,not married,,,,
157385,not married,,,,
157421,married,married,Married,Married,married
158261,married,married,Married,Married,married
159285,not married,,,,
161715,not married,partnered,,,
162521,married,married,Married,Married,married
163195,not married,partnered,Partnered,Married,married
164505,not married,,,,
165625,not married,,,,
166381,married,married,Married,Married,married
167245,not married,partnered,Partnered,,
168646,married,married,Married,Married,married
171391,married,married,Married,Married,married
172291,married,married,Married,Married,married
173205,not married,,,,
173671,married,married,Married,Married,married
174603,not married,partnered,Partnered,Unmarried partners,unmarried partners
175455,not married,,,,
176495,not married,partnered,,Unmarried partners,unmarried partners
177386,not married,partnered,,,
178295,not married,,,,
179461,married,married,Married,Married,married
180415,married,married,,,
181403,not married,partnered,,Unmarried partners,unmarried partners
183655,not married,,,,
185405,not married,partnered,Partnered,Unmarried partners,unmarried partners
187511,married,married,Married,Married,married
188395,not married,,,,
189411,married,married,Married,Married,married
190215,not married,partnered,Partnered,Unmarried partners,unmarried partners
191546,married,married,Married,Married,married
192341,married,married,Married,Married,married
193446,not married,,,Unmarried partners,unmarried partners
194441,married,married,Married,Married,married
196851,married,married,Married,Married,married
197486,not married,partnered,Partnered,Unmarried partners,unmarried partners
198383,not married,,,,
199261,married,married,Married,Married,married
201665,not married,,,,
202631,married,married,Married,Married,married
203505,not married,,,,
203562,not married,partnered,,,
204561,married,married,Married,Married,married
205421,married,married,Married,Married,married
206541,married,married,Married,Married,married
207225,not married,,,,
208762,not married,,,,
209345,not married,partnered,,,
210425,not married,,,,
211571,married,married,Married,Married,married
211655,not married,,,,
212505,not married,partnered,,,
213802,not married,,,,
214591,married,married,Married,Married,married
217365,not married,partnered,Partnered,,
218426,not married,partnered,Partnered,,
219265,not married,partnered,partnered,Unmarried partners,unmarried partners
220411,married,married,Married,Married,married
221225,not married,partnered,Partnered,Unmarried partners,unmarried partners
222281,married,married,Married,Married,married
224425,not married,partnered,Partnered,Unmarried partners,unmarried partners
225411,married,married,Married,Married,married
225516,not married,partnered,Partnered,Unmarried partners,unmarried partners
226381,married,married,Married,Married,married
227542,not married,,,,
228741,married,married,Married,Married,married
229666,not married,partnered,Partnered,Unmarried partners,unmarried partners
230271,married,married,Married,Married,married
230651,married,married,,,
231421,married,married,Married,Married,married
232595,not married,,,,
233441,married,married,Married,Married,married
234565,not married,,,,
236195,not married,partnered,,,
236456,not married,partnered,Married,Married,married
237565,not married,,,,
238685,not married,,,,
239561,married,married,Married,Married,married
240325,not married,,,,
241415,not married,,,,
242355,not married,,,Unmarried partners,unmarried partners
244431,married,married,Married,Married,married
245671,married,married,,Married,married
246531,married,married,Married,Married,married
247475,not married,,Partnered,Unmarried partners,unmarried partners
248795,not married,,,,
249441,married,married,Married,Married,married
250325,not married,,,,
250546,married,married,Married,Married,married
251822,married,married,,,
252235,not married,,,,
253483,not married,partnered,,,
254236,not married,partnered,Partnered,Unmarried partners,unmarried partners
255375,not married,,,Unmarried partners,unmarried partners
256593,not married,,,,
256696,married,married,Married,Married,married
257822,married,married,,,
259495,married,married,Married,,
260461,married,married,Married,Married,married
261591,married,married,Married,Married,married
262566,married,married,Married,Married,married
263445,not married,,,,
264703,not married,,,,
266436,married,,,Married,married
267361,married,married,Married,Married,married
268742,not married,,,,
269331,married,married,Married,Married,married
270225,not married,partnered,Partnered,Unmarried partners,unmarried partners
271623,not married,partnered,Partnered,Unmarried partners,unmarried partners
272616,not married,partnered,Partnered,Unmarried partners,unmarried partners
273431,married,married,Married,Married,married
273651,married,married,Married,Married,married
274536,not married,partnered,Partnered,Unmarried partners,unmarried partners
275653,not married,partnered,,Unmarried partners,unmarried partners
277391,married,married,Married,Married,married
278413,not married,partnered,,,
279534,married,married,Married,Married,married
280593,not married,,,,
282691,married,married,Married,Married,married
283386,married,married,Married,Married,married
284426,not married,partnered,,,
285261,married,,,Married,married
286556,not married,partnered,Partnered,Unmarried partners,unmarried partners
287496,not married,partnered,Partnered,Unmarried partners,unmarried partners
288666,married,married,Married,Married,married
289486,not married,,Partnered,Unmarried partners,unmarried partners
290531,married,married,Married,Married,married
291286,not married,partnered,,Married,married
291505,not married,,,,
292615,not married,,,,
293336,not married,partnered,,Unmarried partners,married
294475,not married,,,,
295531,married,married,Married,Married,married
296851,married,married,Married,Married,married
297285,not married,partnered,,,
298551,married,married,Married,Married,married
299605,not married,,,,
300455,not married,,,,
301251,married,married,Married,Married,married
301675,not married,,,,
302475,not married,,,,
303195,not married,partnered,Partnered,Unmarried partners,unmarried partners
304561,married,married,Married,Married,married
305321,married,married,,Married,married
306336,married,married,,Married,married
307423,not married,,Partnered,,
307461,married,married,Married,Married,married
308205,not married,,,,
309276,not married,partnered,Partnered,,
310675,not married,,,,
311251,married,,,Married,married
312373,not married,,Partnered,,
312623,not married,,,,
313592,not married,,,,
314341,married,,,Married,married
315205,not married,,,,
316653,not married,,,,
320631,married,married,Married,Married,married
321421,married,married,Married,Married,married
322421,married,married,Married,Married,married
323481,married,married,Married,Married,married
326341,married,married,Married,Married,married
327685,not married,,,,
328341,married,married,,Married,married
329551,married,married,Married,Married,married
330496,not married,partnered,Partnered,Unmarried partners,unmarried partners
331691,married,married,Married,Married,married
332401,married,married,Married,Married,married
333541,married,married,Married,,
334655,not married,,,,
335326,not married,partnered,,Unmarried partners,unmarried partners
336205,not married,,Partnered,,
337581,married,married,Married,Married,married
338546,not married,partnered,Partnered,Unmarried partners,unmarried partners
341391,married,married,Married,,
341605,not married,,,,
342596,not married,partnered,Partnered,Unmarried partners,married
343421,married,married,,Married,married
344396,not married,partnered,Partnered,Unmarried partners,unmarried partners
344595,not married,,,,
345315,not married,,,,
345491,married,married,Married,Married,married
346371,married,married,,Married,married
347716,not married,partnered,Partnered,Unmarried partners,unmarried partners
348456,not married,partnered,Partnered,Unmarried partners,unmarried partners
349425,not married,,,,
350771,married,,,Married,married
351405,not married,partnered,,,
352336,married,married,Married,Married,married
353285,married,married,Married,Married,married
354331,married,married,Married,Married,married
355771,married,married,Married,Married,married
356755,not married,,,,
358321,married,married,Married,Married,married
359511,married,married,Married,Married,married
360291,married,married,Married,Married,married
360533,not married,,,,
361593,not married,partnered,Partnered,Unmarried partners,unmarried partners
362491,married,married,Married,Married,married
363761,married,married,Married,Married,married
364365,not married,partnered,Partnered,Unmarried partners,unmarried partners
365575,not married,,,,
366663,not married,,,,
367471,married,married,Married,Married,married
368611,married,married,Married,Married,married
370682,not married,,,,
370713,married,married,,,
371551,married,married,Married,Married,married
371555,not married,,,,
372265,not married,,,,
373513,not married,,,,
374391,married,married,,Married,married
375351,married,,,Married,married
375486,not married,partnered,Partnered,Unmarried partners,unmarried partners
376545,not married,,,,
378221,married,married,Married,Married,married
379781,married,married,,,
380351,married,married,,,
381295,married,married,Married,Married,married
382683,not married,,,,
383281,married,married,,Married,married
383463,not married,,,,
384435,not married,,,,
385491,married,married,Married,Married,married
386546,not married,partnered,Partnered,Unmarried partners,unmarried partners
386583,not married,,,,
387205,not married,,,,
388731,married,married,Married,Married,married
389541,married,married,Married,Married,married
390431,married,married,,Married,married
392315,married,married,,,
392341,married,married,Married,Married,married
393591,married,married,Married,Married,married
394765,not married,,,,
396291,married,married,Married,Married,married
399361,married,married,Married,Married,married
401561,married,married,,,
404645,not married,,,,
405782,not married,partnered,Partnered,Unmarried partners,unmarried partners
406672,not married,partnered,,,
407802,not married,,,,
408642,not married,,,,
409345,not married,,,,
412281,married,married,Married,Married,married
413606,married,married,Married,Married,married
414721,married,married,Married,Married,married
415812,not married,,,,
416465,not married,,,,
417833,not married,,,,
419535,not married,,,,
420285,not married,partnered,Partnered,Unmarried partners,unmarried partners
421436,married,married,Married,Married,married
422485,not married,partnered,Partnered,Unmarried partners,unmarried partners
423411,married,married,Married,Married,married
425381,married,married,Married,Married,married
426245,not married,,,,
427821,married,married,Married,Married,married
428395,not married,,,,
429306,not married,partnered,Married,Married,married
430623,not married,,,,
431851,married,married,Married,Married,married
432411,married,married,Married,Married,married
433481,married,married,,Married,married
434455,not married,,,,
435535,not married,,,,
436712,not married,,,,
437831,married,married,Married,Married,married
438615,not married,,,,
439271,married,married,Married,Married,married
440811,married,married,,Married,married
441341,married,married,Married,Married,married
442336,not married,,,,
443301,married,married,Married,Married,married
444371,married,married,Married,Married,married
445591,married,,,Married,married
447445,not married,,,,
448326,not married,partnered,Partnered,,
449566,married,,,Married,married
450291,married,married,Married,Married,married
451325,not married,,,,
452446,not married,partnered,Partnered,Unmarried partners,unmarried partners
453361,married,married,Married,Married,married
454456,not married,partnered,,,
455601,married,married,,Married,married
456692,not married,,,,
458621,married,married,,Married,married
459505,not married,,,,
461511,married,married,Married,Married,married
463603,not married,,,,
464712,not married,,,,
465386,not married,partnered,Partnered,Unmarried partners,unmarried partners
466852,not married,,,Unmarried partners,unmarried partners
467563,not married,,,,
468225,not married,partnered,,,
469391,married,married,Married,,
470261,married,married,Married,Married,married
471426,married,married,Married,Married,married
472431,not married,partnered,,,
473812,not married,,,,
474365,not married,,,,
475485,not married,,,Unmarried partners,unmarried partners
477274,not married,,,,
478561,married,married,Married,Married,married
479603,not married,,,,
480501,married,,,Married,married
481445,not married,partnered,,,
482435,not married,,,,
483591,married,married,,Married,married
484581,married,married,Married,Married,married
487225,not married,,,,
488693,not married,,,,
489621,married,married,Married,Married,married
490291,married,married,Married,Married,married
491772,not married,partnered,,,
492215,not married,,,,
493702,not married,,,,
494215,not married,partnered,Partnered,Unmarried partners,unmarried partners
496215,not married,partnered,Partnered,Unmarried partners,unmarried partners
497295,not married,partnered,Partnered,Married,married
499271,married,married,Married,Married,married
500403,not married,,,,
501306,not married,partnered,Partnered,Unmarried partners,unmarried partners
502721,married,married,Married,Married,married
503922,not married,,,,
504385,not married,,,,
505381,married,,,Married,married
506515,not married,partnered,,,
507491,married,married,Married,Married,married
508361,married,married,,Married,married
509391,married,married,Married,Married,married
511386,not married,partnered,Partnered,Married,married
512356,not married,partnered,Partnered,Unmarried partners,unmarried partners
513831,married,married,,Married,married
515281,married,married,Married,Married,married
516446,married,married,Married,Married,married
517455,not married,,,,
518481,married,married,,Married,married
519343,not married,,,,
520581,married,married,Married,Married,married
521565,not married,,,,
522543,not married,,,,
523401,married,married,,,
524471,married,married,Married,Married,married
525291,married,married,Married,Married,married
526701,married,married,Married,Married,married
527611,married,married,Married,Married,married
528245,not married,,,,
531265,not married,,,Unmarried partners,married
532341,married,married,Married,Married,married
533831,married,married,,,
534575,not married,,,,
535331,married,,,Married,married
536205,not married,partnered,Partnered,,
537563,not married,,,,
538571,married,married,,Married,married
540435,not married,,,Unmarried partners,unmarried partners
541261,married,married,Married,Married,married
542711,married,married,Married,Married,married
543641,married,married,Married,Married,married
544235,not married,,,,
545326,married,married,Married,,
546195,not married,partnered,Partnered,Unmarried partners,unmarried partners
547235,not married,,,,
548505,not married,,,,
549235,not married,,Partnered,,
550195,not married,,,,
551782,not married,,,,
552391,married,married,Married,Married,married
553481,married,married,Married,Married,married
554226,not married,partnered,,Unmarried partners,unmarried partners
555401,married,married,Married,Married,married
556351,married,,,,
557215,not married,partnered,,,
558672,not married,,,,
559772,not married,,,,
560882,not married,,,,
561504,married,married,Married,Married,married
562485,not married,,,,
563456,not married,partnered,Partnered,Unmarried partners,unmarried partners
564405,married,married,Married,Married,married
565505,not married,,,,
566581,married,married,Married,Married,married
567481,not married,partnered,Partnered,Unmarried partners,unmarried partners
568563,not married,,,,
569215,married,married,Married,Married,married
570541,married,married,Married,Married,married
571671,married,married,Married,Married,married
572225,not married,,,,
573381,married,married,,Married,married
576461,married,married,Married,Married,married
577531,married,married,Married,Married,married
578381,married,married,Married,Married,married
579591,married,married,Married,Married,married
580281,married,married,Married,Married,married
581391,married,married,Married,Married,married
582561,married,,,Married,married
584543,not married,,,,
585403,not married,,,,
586275,not married,partnered,,,
587291,married,,,Married,married
588205,not married,,,,
589613,not married,,,,
591385,not married,partnered,Partnered,Married,married
593511,married,married,,Married,married
594631,married,married,Married,Married,married
595611,married,married,,,
596591,married,married,Married,Married,married
597341,married,married,Married,,
598215,not married,,,,
599531,married,married,Married,Married,married
600571,married,married,Married,Married,married
601241,married,,,Married,married
602406,not married,partnered,,,
603205,not married,,,,
604521,married,,,Married,married
605792,not married,,,,
606225,not married,partnered,Partnered,Unmarried partners,unmarried partners
608385,not married,,,,
609701,married,married,,Married,married
610321,married,married,Married,Married,married
611351,married,married,,Married,married
612291,married,married,Married,Married,married
613781,married,married,Married,Married,married
615255,not married,partnered,,,
617501,married,married,Married,Married,married
618655,not married,,,,
619451,married,married,Married,Married,married
620565,not married,partnered,Partnered,Unmarried partners,unmarried partners
622641,married,married,Married,Married,married
623493,not married,partnered,,,
624536,married,married,Married,Married,married
625435,not married,,,,
626255,not married,partnered,Partnered,Married,married
627533,not married,partnered,,,
628841,married,married,Married,,
629205,not married,,,,
630534,married,married,,,
631265,not married,,,,
632473,married,married,,,
633631,married,married,Married,Married,married
634595,not married,,,,
635411,married,married,Married,Married,married
636631,married,married,Married,Married,married
637503,not married,,,,
638635,not married,,,,
639211,married,married,Married,,
640596,not married,partnered,Partnered,Unmarried partners,unmarried partners
641454,not married,,,,
643545,not married,,,,
644573,not married,,,,
645922,married,,,,
646613,not married,partnered,,,
648586,not married,partnered,,Unmarried partners,unmarried partners
649295,not married,,,,
650616,not married,partnered,Partnered,Unmarried partners,unmarried partners
651701,married,married,Married,Married,married
652271,married,married,Married,Married,married
653573,not married,,,Unmarried partners,unmarried partners
654431,married,married,Married,Married,married
655505,not married,partnered,Partnered,,
656225,not married,partnered,Partnered,Married,married
657761,married,,,Married,married
658356,married,married,Married,Married,married
660391,married,married,Married,Married,married
661466,not married,partnered,Partnered,Unmarried partners,unmarried partners
662732,not married,,,,
663872,married,married,,,
664501,married,married,Married,Married,married
665256,not married,partnered,Partnered,Unmarried partners,unmarried partners
666686,not married,partnered,Partnered,Unmarried partners,unmarried partners
667321,married,,,Married,married
668501,married,married,Married,Married,married
669511,married,married,Married,Married,married
670721,married,married,Married,Married,married
671481,married,married,Married,Married,married
672681,married,married,Married,Married,married
673371,married,married,Married,Married,married
674385,not married,,,,
675671,married,married,Married,Married,married
676315,not married,,,,
677226,not married,partnered,Married,Married,married
679573,not married,,,,
680225,not married,partnered,Partnered,Unmarried partners,married
681525,not married,,,,
682691,not married,,,,
683593,not married,,,,
684695,not married,,,,
685465,not married,,,,
686266,not married,partnered,Partnered,,
687672,not married,,,,
688245,not married,,,,
689556,not married,partnered,,Unmarried partners,unmarried partners
690195,not married,partnered,,,
691395,not married,,,,
692321,married,married,Married,Married,married
693365,not married,partnered,Married,Married,married
694703,not married,,,,
695592,not married,,,,
696413,not married,partnered,Married,,married
697396,not married,partnered,Partnered,Married,married
698271,married,married,Married,Married,married
699762,not married,,,,
700396,not married,partnered,Partnered,Unmarried partners,unmarried partners
701496,not married,partnered,Partnered,Unmarried partners,unmarried partners
702553,not married,,,,
703215,not married,,,Unmarried partners,unmarried partners
704331,married,married,Married,Married,married
705295,not married,,,,
706306,married,,,Married,married
707663,not married,,,,
708603,not married,,,,
709205,not married,partnered,,,
710675,not married,,,,
711676,not married,partnered,Partnered,Unmarried partners,unmarried partners
712403,not married,partnered,,,
713433,not married,,,,
