caseid,1,2,3,4,5
22526,partnered,partnered,partnered,,partnered
23286,married,married,married,,married
26315,partnered,partnered,,,
28536,partnered,partnered,partnered,partnered,partnered
29584,married,married,married,married,married
31456,partnered,,,partnered,partnered
32656,partnered,,partnered,partnered,partnered
33536,partnered,partnered,partnered,partnered,partnered
34341,married,married,married,married,married
35653,partnered,partnered,,,
36493,partnered,partnered,,,
38895,partnered,partnered,partnered,partnered,partnered
40335,partnered,partnered,,,
41505,partnered,partnered,,,
43381,married,married,married,married,married
44486,married,married,married,married,married
46746,married,married,married,married,married
48225,partnered,partnered,partnered,married,married
49731,married,married,married,married,married
51376,partnered,partnered,partnered,,
54415,partnered,partnered,,,
55365,partnered,partnered,partnered,,
55686,partnered,,,partnered,partnered
56536,partnered,partnered,partnered,partnered,partnered
58295,partnered,partnered,partnered,married,married
60743,partnered,partnered,,,
62283,partnered,partnered,,,
64331,married,married,married,married,married
65446,partnered,partnered,,,
66484,partnered,partnered,,,
68546,married,married,married,married,married
69311,married,married,married,married,married
72515,partnered,partnered,,,
73603,married,married,,,
75621,married,married,,married,married
77256,married,married,married,married,married
78351,married,married,married,married,married
79731,married,married,married,married,married
80656,partnered,partnered,partnered,partnered,partnered
81286,partnered,partnered,married,married,married
82431,married,married,,married,married
83431,married,married,married,married,married
85281,married,married,married,married,married
86591,married,married,married,married,married
89766,partnered,partnered,,partnered,partnered
94431,married,married,married,married,married
95431,married,married,married,married,married
97195,partnered,partnered,partnered,partnered,partnered
99611,married,married,married,married,married
100331,married,married,married,married,married
103545,partnered,partnered,partnered,partnered,partnered
104565,partnered,partnered,partnered,,
106296,partnered,partnered,partnered,,
108501,married,married,married,married,married
110316,partnered,partnered,partnered,partnered,partnered
112646,married,married,married,married,married
113235,partnered,partnered,married,married,married
114276,married,married,married,married,married
115473,partnered,partnered,,,
116271,married,married,married,married,married
117401,married,married,married,married,married
119371,married,married,married,married,married
119663,partnered,partnered,,partnered,partnered
120456,married,married,married,married,married
121515,partnered,partnered,partnered,partnered,partnered
122441,married,married,,married,married
125346,partnered,partnered,,,
126231,married,married,married,married,married
128441,married,married,married,married,married
130266,married,married,married,married,married
133521,married,married,married,married,married
134275,partnered,partnered,partnered,partnered,married
134461,partnered,partnered,married,married,married
135736,partnered,partnered,partnered,partnered,partnered
136275,partnered,partnered,,married,married
137215,partnered,partnered,partnered,partnered,partnered
140511,married,married,married,married,married
142561,married,married,,married,married
143746,partnered,,,partnered,partnered
144545,partnered,partnered,partnered,partnered,partnered
145611,married,married,married,married,married
147245,partnered,partnered,partnered,partnered,partnered
147525,partnered,partnered,partnered,,
150411,married,married,married,married,married
151506,married,married,married,married,married
152762,married,married,,,
154531,married,married,,married,married
155561,married,married,married,married,married
156486,partnered,partnered,partnered,partnered,partnered
157421,married,married,married,married,married
158261,married,married,married,married,married
161715,partnered,partnered,,,
162521,married,married,married,married,married
163195,partnered,partnered,partnered,married,married
166381,married,married,married,married,married
167245,partnered,partnered,partnered,,
168646,married,married,married,married,married
171391,married,married,married,married,married
172291,married,married,married,married,married
173671,married,married,married,married,married
174603,partnered,partnered,partnered,partnered,partnered
176495,partnered,partnered,,partnered,partnered
177386,partnered,partnered,,,
179461,married,married,married,married,married
180415,married,married,,,
181403,partnered,partnered,,partnered,partnered
185405,partnered,partnered,partnered,partnered,partnered
187511,married,married,married,married,married
189411,married,married,married,married,married
190215,partnered,partnered,partnered,partnered,partnered
191546,married,married,married,married,married
192341,married,married,married,married,married
194441,married,married,married,married,married
196851,married,married,married,married,married
197486,partnered,partnered,partnered,partnered,partnered
199261,married,married,married,married,married
202631,married,married,married,married,married
203562,partnered,partnered,,,
204561,married,married,married,married,married
205421,married,married,married,married,married
206541,married,married,married,married,married
209345,partnered,partnered,,,
211571,married,married,married,married,married
212505,partnered,partnered,,,
214591,married,married,married,married,married
217365,partnered,partnered,partnered,,
218426,partnered,partnered,partnered,,
219265,partnered,partnered,partnered,partnered,partnered
220411,married,married,married,married,married
221225,partnered,partnered,partnered,partnered,partnered
222281,married,married,married,married,married
224425,partnered,partnered,partnered,partnered,partnered
225411,married,married,married,married,married
225516,partnered,partnered,partnered,partnered,partnered
226381,married,married,married,married,married
228741,married,married,married,married,married
229666,partnered,partnered,partnered,partnered,partnered
230271,married,married,married,married,married
230651,married,married,,,
231421,married,married,married,married,married
233441,married,married,married,married,married
236195,partnered,partnered,,,
236456,partnered,partnered,married,married,married
239561,married,married,married,married,married
244431,married,married,married,married,married
245671,married,married,,married,married
246531,married,married,married,married,married
247475,partnered,,partnered,partnered,partnered
249441,married,married,married,married,married
250546,married,married,married,married,married
251822,married,married,,,
253483,partnered,partnered,,,
254236,partnered,partnered,partnered,partnered,partnered
256696,married,married,married,married,married
257822,married,married,,,
259495,married,married,married,,
260461,married,married,married,married,married
261591,married,married,married,married,married
262566,married,married,married,married,married
267361,married,married,married,married,married
269331,married,married,married,married,married
270225,partnered,partnered,partnered,partnered,partnered
271623,partnered,partnered,partnered,partnered,partnered
272616,partnered,partnered,partnered,partnered,partnered
273431,married,married,married,married,married
273651,married,married,married,married,married
274536,partnered,partnered,partnered,partnered,partnered
275653,partnered,partnered,,partnered,partnered
277391,married,married,married,married,married
278413,partnered,partnered,,,
279534,married,married,married,married,married
282691,married,married,married,married,married
283386,married,married,married,married,married
284426,partnered,partnered,,,
286556,partnered,partnered,partnered,partnered,partnered
287496,partnered,partnered,partnered,partnered,partnered
288666,married,married,married,married,married
289486,partnered,,partnered,partnered,partnered
290531,married,married,married,married,married
291286,partnered,partnered,,married,married
293336,partnered,partnered,,partnered,married
295531,married,married,married,married,married
296851,married,married,married,married,married
297285,partnered,partnered,,,
298551,married,married,married,married,married
301251,married,married,married,married,married
303195,partnered,partnered,partnered,partnered,partnered
304561,married,married,married,married,married
305321,married,married,,married,married
306336,married,married,,married,married
307423,partnered,,partnered,,
307461,married,married,married,married,married
309276,partnered,partnered,partnered,,
312373,partnered,,partnered,,
320631,married,married,married,married,married
321421,married,married,married,married,married
322421,married,married,married,married,married
323481,married,married,married,married,married
326341,married,married,married,married,married
328341,married,married,,married,married
329551,married,married,married,married,married
330496,partnered,partnered,partnered,partnered,partnered
331691,married,married,married,married,married
332401,married,married,married,married,married
333541,married,married,married,,
335326,partnered,partnered,,partnered,partnered
336205,partnered,,partnered,,
337581,married,married,married,married,married
338546,partnered,partnered,partnered,partnered,partnered
341391,married,married,married,,
342596,partnered,partnered,partnered,partnered,married
343421,married,married,,married,married
344396,partnered,partnered,partnered,partnered,partnered
345491,married,married,married,married,married
346371,married,married,,married,married
347716,partnered,partnered,partnered,partnered,partnered
348456,partnered,partnered,partnered,partnered,partnered
351405,partnered,partnered,,,
352336,married,married,married,married,married
353285,married,married,married,married,married
354331,married,married,married,married,married
355771,married,married,married,married,married
358321,married,married,married,married,married
359511,married,married,married,married,married
360291,married,married,married,married,married
361593,partnered,partnered,partnered,partnered,partnered
362491,married,married,married,married,married
363761,married,married,married,married,married
364365,partnered,partnered,partnered,partnered,partnered
367471,married,married,married,married,married
368611,married,married,married,married,married
370713,married,married,,,
371551,married,married,married,married,married
374391,married,married,,married,married
375486,partnered,partnered,partnered,partnered,partnered
378221,married,married,married,married,married
379781,married,married,,,
380351,married,married,,,
381295,married,married,married,married,married
383281,married,married,,married,married
385491,married,married,married,married,married
386546,partnered,partnered,partnered,partnered,partnered
388731,married,married,married,married,married
389541,married,married,married,married,married
390431,married,married,,married,married
392315,married,married,,,
392341,married,married,married,married,married
393591,married,married,married,married,married
396291,married,married,married,married,married
399361,married,married,married,married,married
401561,married,married,,,
405782,partnered,partnered,partnered,partnered,partnered
406672,partnered,partnered,,,
412281,married,married,married,married,married
413606,married,married,married,married,married
414721,married,married,married,married,married
420285,partnered,partnered,partnered,partnered,partnered
421436,married,married,married,married,married
422485,partnered,partnered,partnered,partnered,partnered
423411,married,married,married,married,married
425381,married,married,married,married,married
427821,married,married,married,married,married
429306,partnered,partnered,married,married,married
431851,married,married,married,married,married
432411,married,married,married,married,married
433481,married,married,,married,married
437831,married,married,married,married,married
439271,married,married,married,married,married
440811,married,married,,married,married
441341,married,married,married,married,married
443301,married,married,married,married,married
444371,married,married,married,married,married
448326,partnered,partnered,partnered,,
450291,married,married,married,married,married
452446,partnered,partnered,partnered,partnered,partnered
453361,married,married,married,married,married
454456,partnered,partnered,,,
455601,married,married,,married,married
458621,married,married,,married,married
461511,married,married,married,married,married
465386,partnered,partnered,partnered,partnered,partnered
468225,partnered,partnered,,,
469391,married,married,married,,
470261,married,married,married,married,married
471426,married,married,married,married,married
472431,partnered,partnered,,,
478561,married,married,married,married,married
481445,partnered,partnered,,,
483591,married,married,,married,married
484581,married,married,married,married,married
489621,married,married,married,married,married
490291,married,married,married,married,married
491772,partnered,partnered,,,
494215,partnered,partnered,partnered,partnered,partnered
496215,partnered,partnered,partnered,partnered,partnered
497295,partnered,partnered,partnered,married,married
499271,married,married,married,married,married
501306,partnered,partnered,partnered,partnered,partnered
502721,married,married,married,married,married
506515,partnered,partnered,,,
507491,married,married,married,married,married
508361,married,married,,married,married
509391,married,married,married,married,married
511386,partnered,partnered,partnered,married,married
512356,partnered,partnered,partnered,partnered,partnered
513831,married,married,,married,married
515281,married,married,married,married,married
516446,married,married,married,married,married
518481,married,married,,married,married
520581,married,married,married,married,married
523401,married,married,,,
524471,married,married,married,married,married
525291,married,married,married,married,married
526701,married,married,married,married,married
527611,married,married,married,married,married
531265,partnered,,,partnered,married
532341,married,married,married,married,married
533831,married,married,,,
535331,married,,,married,married
536205,partnered,partnered,partnered,,
538571,married,married,,married,married
541261,married,married,married,married,married
542711,married,married,married,married,married
543641,married,married,married,married,married
545326,married,married,married,,
546195,partnered,partnered,partnered,partnered,partnered
549235,partnered,,partnered,,
552391,married,married,married,married,married
553481,married,married,married,married,married
554226,partnered,partnered,,partnered,partnered
555401,married,married,married,married,married
557215,partnered,partnered,,,
